stt,thema
아 엊그제 어머님이 전화를 하셨는데 요즘 무릎 통증이 심하다고 하셔서,무릎 통증 관리
사실 나도 등산 한 번씩 다녀오면 요즘은 무릎이 좀 아프더라고 ,무릎 통증 관리
내가 요즘 살이 좀 많이 쪘는데 그래서 무릎에 더 부담이 가는 것 같기도 해,무릎 통증 관리
그런데 무릎이 안 좋으니까 운동도 마음대로 못 하겠더라고,무릎 통증 관리
그렇구나 그런데 수영장까지 가는 건 아무래도 좀 부담인데,무릎 통증 관리
얼마 전에 실내 자전거 타기 운동 기구를 구입했는데 혹시 그런 건 별론가 ,무릎 통증 관리
음식도 신경을 좀 써야할 것 같은데 특별히 좋은 음식이 있나 ,무릎 통증 관리
그건 그렇지만 그래도 도움이 될 만한 음식 종류는 좀 알아 두는 게 좋을 것 같아 ,무릎 통증 관리
오 지금 내가 찾아보니까 비타민이 풍부한 녹색 채소류가 좋다네 ,무릎 통증 관리
견과류도 좋다고 하고 우유나 미역 김 같이 칼슘이 풍부한 음식 육류 등을 골고루 먹으래,무릎 통증 관리
자세 쭈그리고 앉는 자세가 무릎에 가장 치명적이래 ,무릎 통증 관리
걸을 때는 무릎에 체중의 세 배 정도 하중이 실리는데 쪼그려 앉으면 무려 아홉 배의 하중이 실린대  ,무릎 통증 관리
양반다리나 다리를 꼬는 자세도 무릎에 무리를 줄 수 있다니 조심해야 해 ,무릎 통증 관리
응 재활 관리를 열심히 한 덕분인가 수술 전보다 훨씬 좋아지셨어 근데 왜 ,인공관절 수술에 대하여
인공 관절 수명을 대략 이삼십 년 정도로 보거든(NO:),인공관절 수술에 대하여
수술하고 며칠 지나서부터 평행봉 잡고 걷는 연습 시작하셨지 ,인공관절 수술에 대하여
빨리 회복하고 싶다고 진짜 열심히 꾸준히 재활하시더라고,인공관절 수술에 대하여
나도 그런 줄 알았는데 몸을 움직이지 않으면 오히려 관절 근력이 약해진대 ,인공관절 수술에 대하여
우리 어머니도 많이 무서워하셨는데 요즘은 수술 후 통증을 줄여주는 방법이 많이 있나보더라,인공관절 수술에 대하여
그렇지도 않아 바닥에 쪼그리고 (NO:앉거나 양반다리) 같은 자세가 아니면 큰 무리 없던데,인공관절 수술에 대하여
우리 어머니도 당뇨를 앓고 계신데 수술 전에 혈당 관리를 더 철저하게 시키긴 하더라고,인공관절 수술에 대하여
그렇지 않으면 세균 감염 같은 합병증이 생길 위험이 있다고,인공관절 수술에 대하여
(SN:)요를 깔고 개고 바닥에 누웠다 일어나고 (NO:하는 동작들이) 무릎 관절에 꽤 무리가 가거든 ,인공관절 수술에 대하여
(SP:그)그거 좋겠네 (NO:) 너무 무거운 물건을 드는 것도 관절에 부담이 가니 피하시도록 하고 ,인공관절 수술에 대하여
서는 그리 권하지는 않더라고 효과가 확실하게 증명되지는 않았대 ,인공관절 수술에 대하여
맞아 난 일어나기 너무 힘들어서 알람을 일 분 단위로 설정해 놓잖아 ,내 몸을 망치는 안 좋은 아침 습관
내일부턴 정말 일어나는 시간에만 알람을 맞춰놔야겠다 ,내 몸을 망치는 안 좋은 아침 습관
근데 난 눈은 떴어도 침대에서 몸을 일으키는 게 그렇게 어렵더라 ,내 몸을 망치는 안 좋은 아침 습관
한참 동안 침대에서 빈둥빈둥해야 겨우 정신 좀 차리고 일어날 수가 있더라고 ,내 몸을 망치는 안 좋은 아침 습관
아 뭐 그래야 좀 활기차게 아침을 시작할 수 있긴 하겠지 ,내 몸을 망치는 안 좋은 아침 습관
그렇지 잠도 좀 깨야 되고 중요한 연락도 좀 확인하고,내 몸을 망치는 안 좋은 아침 습관
알았어 내일부턴 아침에 알람 한 번에 곧바로 침대에서 일어나서 찬물부터 한 잔 마셔야겠다 ,내 몸을 망치는 안 좋은 아침 습관
찬물 한 잔 시원하게 마시면 잠도 깨고 공복에 물 한 잔 마시는게 좋다던데 ,내 몸을 망치는 안 좋은 아침 습관
정말 안그래도 요즘 소화가 잘 안돼서 고생하고 있었는데 ,내 몸을 망치는 안 좋은 아침 습관
조심해야겠다 그러면 아침에 물을 마시면 안되는 거야 ,내 몸을 망치는 안 좋은 아침 습관
그래도 뭐라도 먹지 않으면 허기져서 출근을 못 하겠더라 ,내 몸을 망치는 안 좋은 아침 습관
오늘 아침엔 어제 먹다 남은 도너츠가 있길래 집어먹고 왔지 ,내 몸을 망치는 안 좋은 아침 습관
아니 왜 이렇게 안되는 게 많아 단 음식은 또 왜 ,내 몸을 망치는 안 좋은 아침 습관
그렇긴 하지 나두 십 년 넘게 아침은 커피 한잔으로 때웠으니까,"커피, 이렇게 마시면 최악!"
그런데 이제부터는 좀 자제하려고,"커피, 이렇게 마시면 최악!"
며칠 전에 과학 유튜브 채널에서 봤는데 모닝 커피가 건강을 해칠 수도 있다네 ,"커피, 이렇게 마시면 최악!"
긴장이나 고통 같은 다양한 스트레스에 맞서 분비되는 호르몬이야 ,"커피, 이렇게 마시면 최악!"
신체에 에너지를 공급해 우리 몸을 활발하게 해주는 역할을 하지 ,"커피, 이렇게 마시면 최악!"
응 코르티솔 호르몬이 왕성하게 분비되는 아침에 커피까지 마시게 되면 신체 각성 작용이 과도해진다는 거지 ,"커피, 이렇게 마시면 최악!"
코르티솔이 가장 적게 분비되는 오전 열 시부터 정오 혹은 오후 두 시부터 다섯 시 사이가 좋대 ,"커피, 이렇게 마시면 최악!"
식사 중이나 식후에 바로 마시는 커피는 철분 흡수를 방해하거든 ,"커피, 이렇게 마시면 최악!"
신진대사가 제대로 이뤄지지 못해서 쉽게 피로감을 느끼게 되고 집중력도 떨어지기 쉽다고 ,"커피, 이렇게 마시면 최악!"
식사하고 나서 최소한 삼십 분 정도 지나서 마시는 게 좋대 ,"커피, 이렇게 마시면 최악!"
그렇지 근데 저번에 보니까 너 회식하고 난 다음날 아침부터 커피 마시고 있더라 ,"커피, 이렇게 마시면 최악!"
그렇지만 건강을 생각한다면 해장 취향도 바꾸는 게 좋을걸 ,"커피, 이렇게 마시면 최악!"
그렇게 생각하기 쉽지만 음주 후엔 수분을 충분히 섭취하는 게 아주 중요하거든 ,"커피, 이렇게 마시면 최악!"
그런데 카페인은 체내 수분 배출하기 작용을 촉진한단 말이야 ,"커피, 이렇게 마시면 최악!"
그래서 우리 몸을 오히려 노곤하고 처지게 만든대,"커피, 이렇게 마시면 최악!"
좋아 그런데 난 미지근한 물을 좀 섞어 줘 ,"커피, 이렇게 마시면 최악!"
주문해서 바로 나오는 뜨거운 커피의 온도가 몇 도나 되는지 알아,"커피, 이렇게 마시면 최악!"
그런데 세계 보건 기구 더블유에이치오에서는 육십오 도 이상의 뜨거운 음료를 발암 물질로 규정하고 있다고 ,"커피, 이렇게 마시면 최악!"
그렇지도 않아 아예 차박이 가능하도록 차 내부를 확장 개조하는 사람들도 있긴 한데,코로나시대의 여행트렌드-차박캠핑
굳이 그러지 않아도 가지고 있는 차를 숙소로 사용할 수 있는 방법이 많더라고 ,코로나시대의 여행트렌드-차박캠핑
차 안에서 자는 게 영 어려우면 차량 위에 설치하는 루프톱 텐트 같은 것도 있어,코로나시대의 여행트렌드-차박캠핑
응 나도 처음엔 걱정을 많이 했는데 생각보다 너무 좋았어,코로나시대의 여행트렌드-차박캠핑
요즘은 차박이 인기를 끌면서 품질 좋은 매트가 많이 나온대 ,코로나시대의 여행트렌드-차박캠핑
나도 이번에 처음 사용해 봤는데 생각보다 푹신하고 안정적이더라 ,코로나시대의 여행트렌드-차박캠핑
일반 텐트가 비교적 가격도 저렴하고 원하는 크기의 텐트를 설치할 수 있다는 장점도 있지,코로나시대의 여행트렌드-차박캠핑
다만 땅에서 올라오는 한기에 약하고 눈비가 많이 올 경우엔 설치가 어렵다는 단점이 있어,코로나시대의 여행트렌드-차박캠핑
아니야 그러면 차 뒷자리랑 트렁크를 연결해서 잘 자리를 만들면 돼 ,코로나시대의 여행트렌드-차박캠핑
두 명 정도는 소형차로도 얼마든지 차박 캠핑이 가능하더라 ,코로나시대의 여행트렌드-차박캠핑
짐이 너무 많아도 번거로워서 최소한의 물품을 효율적으로 챙기는 게 좋긴 해 ,코로나시대의 여행트렌드-차박캠핑
다만 접이식 테이블이나 의자 매트와 침낭 취사도구 같은 건 기본적으로 챙겨야지 ,코로나시대의 여행트렌드-차박캠핑
랜턴이랑 휴대용 배터리 상비약 같은 것도 챙기는 게 좋아,코로나시대의 여행트렌드-차박캠핑
벌레 퇴치제나 연고 같은 것들을 가져가면 유용하더라고 ,코로나시대의 여행트렌드-차박캠핑
캠핑 요리가 얼마나 다양한데 물론 삼겹살에 차가운 맥주 한잔이면 뭐 더 이상 바랄 게 없긴 하지만 ,코로나시대의 여행트렌드-차박캠핑
그렇지 나도 여름휴가 땐 종종 해외여행을 갔었는데 이번엔 못 갔어 ,코로나 시대의 이색 여행 상품
와 비행기 구십 분 타고 내리는데 그 돈을 낸다고 ,코로나 시대의 이색 여행 상품
대박 나도 지금 검색해봤는데 비행하는 척 서비스만 있는게 아니네 ,코로나 시대의 이색 여행 상품
캐나다의 어느 항공사에서는 냉동 기내식 배달 서비스를 시작했대,코로나 시대의 이색 여행 상품
맥앤치즈 고구마 스튜 같이 실제 이 항공사에서 제공하는 기내식 메뉴들을 배달해 준대 ,코로나 시대의 이색 여행 상품
여행 때 맛본 기내식의 맛을 그리워하는 사람들이 꽤 많이 이용한다는데 ,코로나 시대의 이색 여행 상품
코로나 때문에 냉동 음식을 대폭 저장해 두려는 사람들한테도 인기래,코로나 시대의 이색 여행 상품
기내에서 제공되는 아몬드 같은 먹거리랑 비즈니스 클래스용 잠옷하고 로션을 패키지로 팔았대,코로나 시대의 이색 여행 상품
사실 코로나 때문에 직격탄을 맞은 업계가 항공업계긴 하니까  ,코로나 시대의 이색 여행 상품
응 매운 음식을 먹으면 통증에 대응하기 위해서 우리 몸에서 엔도르핀을 분비하는 거야 ,매운 음식 열전
칼칼한 고춧가루를 듬뿍 넣은 매운 낙지볶음에 콩나물이랑 밥을 슥슥 비벼서 먹으면… ,매운 음식 열전
부드러운 살코기와 쫀득한 껍데기에 매운맛 양념의 조화,매운 음식 열전
맞아 주인 아저씨가 그러는데 완뽕 도전하다가 기절하는 사람도 많대,매운 음식 열전
집에서 먹는 거니 아주 편한 옷차림으로 땡초 라면에 맥주 한잔 마시고 나면 천국이 따로 없다,매운 음식 열전
맞아 요즘은 매운맛 강도를 조절할 수 있는 떡볶이 가게도 많더라 ,매운 음식 열전
어우 침 넘어간다 말만 하지 말고 직접 해 주면 안돼 ,매운 음식 열전
오늘 글쎄 내 생일도 아니고 니 생일도 아니고 무슨 날인데,계란 보관법
빼빼로데이 로즈데이 별별 데이가 다 있더니 이제 계란 먹는 날도 다 생겼구나,계란 보관법
나둔데 마땅히 먹을게 없을 때 계란만 있어도 든든하더라고 ,계란 보관법
좀 신경쓰면 계란말이나 계란찜 아니면 계란프라이라도 ,계란 보관법
난 거의 매일 먹는 것 같긴 한데 일 년이면 삼백 개는 먹을 것 같아 ,계란 보관법
왜 거기 두는 게 좋으니까 알아서 보관 자리를 만들어 둔 거 아니야 ,계란 보관법
낮은 온도와 높은 습도 그렇게 애매하게 말하면 누가 알아 먹어 구체적으로 몇 도 ,계란 보관법
냉장고 안의 음식 냄새가 계란으로 흡수되는 것을 막아줄 수 있다며,계란 보관법
내가 가장 즐겨먹는 건 오른손으로 비비고~ 왼손으로 비비고~ ,맛있는 야식 꿀조합
너 나랑 좀 통한다 비빔면 다음으로 내가 좋아하는 야식은 역시 치느님 ,맛있는 야식 꿀조합
난 역시 밥심이 중요한 한국 사람이라 치킨 먹을 때도 밥이 있어야 돼 ,맛있는 야식 꿀조합
뭔데 뭔데 안 그래도 조금 색다른 맛 없나 고민 중이었는데 ,맛있는 야식 꿀조합
근데 가끔은 배달이 안 될 정도로 늦은 시간인데 배가 엄청 고플 때 있잖아 ,맛있는 야식 꿀조합
내가 요즘 새로 터득한 건 짜장라면이랑 불닭볶음면 섞어 먹기 ,맛있는 야식 꿀조합
단 혼자서 이거 다 먹으면 다음날 얼굴 땡땡 부을 수 있다 ,맛있는 야식 꿀조합
그건 그래 가끔 단 음식이 땡길 땐 편의점 모찌롤이랑 초코우유 조합도 괜찮아 ,맛있는 야식 꿀조합
난 내가 라면 끓였는데 한입 달라는 사람이 더 얄밉던데 ,라면의 비밀
칠십 개면 뭐 대충 오 일에서 일주일 사이에 하나 먹는 거네 ,라면의 비밀
그럼 국수 파스타 우동 그런 것들은 다 면발이 직선이잖아 ,라면의 비밀
이렇게 긴 면발을 작은 봉지 안에 넣으려면 꼬불거리는 형태로 만들어야 된다는 거지,라면의 비밀
그래서 바람이 잘 통하기 때문에 쉽게 건조할 수 있고 기름에도 잘 튀겨진대 ,라면의 비밀
직선으로 된 면에 비해 냄비 바닥에 덜 달라붙는다는 장점이 있어 ,라면의 비밀
뜨거운 물을 부었을 때 안쪽 용기는 열이 밖으로 나가지 않게 도와주는 용도 ,라면의 비밀
그건 그렇지 그래서 요즘 컵라면은 종이 재질로 많이 바뀌는 것 같던데 ,라면의 비밀
그치 너무 맘에 들어서 예전부터 찜 해놨던 건데 저렴하게 살 수 있는 기회가 생겨서 ,생활비 아끼는 꿀팁-하자제품 구매 
이 노트북도 누가 반품한 리퍼브 제품이라 싸게 파는 거 산 거야 ,생활비 아끼는 꿀팁-하자제품 구매 
그럼 매장에 전시해 놨던 제품도 있고 내가 산 것처럼 누가 샀다가 반품한 경우도 있고 ,생활비 아끼는 꿀팁-하자제품 구매 
보통 전자 제품은 박스를 뜯으면 그 순간에 중고 되는 거거든 ,생활비 아끼는 꿀팁-하자제품 구매 
당연하지 반 가격인 것도 흔하고 최대 팔십 프로까지 싼 것들도 있던데 ,생활비 아끼는 꿀팁-하자제품 구매 
요즘은 리퍼브 제품만 전문적으로 판매하는 매장이 꽤 많아 ,생활비 아끼는 꿀팁-하자제품 구매 
사고 싶은 게 있으면 일단 그런 곳을 검색해서 찾아가 보면 도움이 될걸 ,생활비 아끼는 꿀팁-하자제품 구매 
(NO:)고객이 사용하던 이케아 가구를 매장에 재판매하면 이케아가 이걸 수선해서 다시 유통시키는 서비스래,생활비 아끼는 꿀팁-하자제품 구매 
새 상품보다 저렴한 가격이지만 이케아가 싹 손을 봐서 깔끔하게 만든 제품인 거지 ,생활비 아끼는 꿀팁-하자제품 구매 
그러게 말이야 나도 필요한 가구가 있었는데 그 서비스를 한번 이용해 보려고 ,생활비 아끼는 꿀팁-하자제품 구매 
너도 복권 당첨되면 나한테 벤츠 한 대 사준단 얘기 백 번쯤 한 것 같은데 ,내가 복권에 당첨된다면? 
당연하지 그 영국 할아버지야 미국 복권에 당첨됐으니까 당첨금도 어마어마했지만 ,내가 복권에 당첨된다면? 
솔직히 요즘 우리 나라에선 복권 당첨돼 봐야 얼마 안될걸 ,내가 복권에 당첨된다면? 
바로 그거야 쫄리면 뭐 사표낸다 그 생각만으로도 좀 든든할 것 같아,내가 복권에 당첨된다면? 
맞아 미국의 어떤 부부도 엄청난 액수의 복권에 당첨됐는데 하나도 변한 게 없이 살고 있다던데 ,내가 복권에 당첨된다면? 
심지어 살던 집도 그대로 차만 좀 좋은 걸로 바꿨다던가 ,내가 복권에 당첨된다면? 
물론 너무 돈이 없어도 힘들겠지만 어느 정도 이상이 되면 큰 차이가 없다더라고,내가 복권에 당첨된다면? 
그렇지 복권 당첨금 때문에 주변 사람들과 갈등이 생겨서 불행해진 사례도 꽤 있더라고,내가 복권에 당첨된다면? 
자 내가 선물로 한 장 사 줄게 대신 당첨되면 나랑 절반으로 나누는거다 ,내가 복권에 당첨된다면? 
응응 궁금하다 와 사진 보니까 진짜 멋있다,한국전쟁 당시 참전 여성들
우와 구월산 여장군이라니 별명도 진짜 대단하다,한국전쟁 당시 참전 여성들
이야 진짜 끝내준다 누가 여자들 전쟁 때 숨어있었다고 하면 말해 줘야지,한국전쟁 당시 참전 여성들
아니 국제 정세 보려면 읽기는 해야 하는데 생각보다 잘 안 읽게 되네,외국 신문 선호도
그 무슨 혁신 보고서인가 나오고 나서부터 달라지기 시작했던데,외국 신문 선호도
티비편성표가 더는 사람들의 티비 시청 방식을 반영하지 못한다,외국 신문 선호도
이야 증권가 찌라시가 진화하고 진화하고 진화해 완전체가 된 것 같지 않아,외국 신문 선호도
아마도 이 차는 피피엘 아니고 주인공 성격 표현하려고 정했을걸,드라마 피피엘
돈을 많이 버는 마약제조범이 안탈 것 같은 눈에 띄지 않는 차가 필요했던 거겠지,드라마 피피엘
맞아 평범한 직업을 가진 중년 남자가 극한 상황에서 가족 지키는 이야기,드라마 피피엘
아마 그럴걸 이십대 미국 남성들에게 어필하는 캐릭터가 그렇다고 분석해 놓은 기사 봤어 ,드라마 피피엘
그러니까 가끔은 내가 드라마를 보는 건지 광고를 보는 건지 모르겠더라고,드라마 피피엘
응 인기를 끌면 막판에 광고주들이 막 붙는대 그래서 더 많아지는 거래,드라마 피피엘
맞아 이제 공중파 방송국은 영향력이 없어 차라리 유튜버가 낫지,드라마 피피엘
야 그 소리는 '카페나 차려 볼까' 하는 말이랑 똑같은 거야 얼마나 힘든데,드라마 피피엘
어 그러니까 안 그래도 그거 물어보더라 당장 일월부터 일해야 하는데 가능하냐고,퇴직 고민
그만큼 하고 싶은 일인지 아직 잘 모르겠어 애들도 걸리고 애들은 절대 반대래,퇴직 고민
나는 이번에 깨달은 게 지금 당장 나한테 필요한 건 성장이나 성취가 아니라 돌봄이라는거,퇴직 고민
옛날에 새로운 거 불안하고 걱정되기도 하지만 엄청 흥분되고 짜릿했거든,퇴직 고민
하고 싶어서 안달나고 그랬는데 지금은 스트레스로 너무 힘들어서 온몸에서 경련이 나더라고,퇴직 고민
그래 나는 성공이라든가 명예는 관심 없는데 성취욕구가 강하거든,퇴직 고민
그걸 못하면 병이 나 근데 하면서 나를 갈아넣어서 또 병이 나 이게 뭐니,퇴직 고민
응 그러니까 지금 재만 남은 기분이야 몸은 또 안돌아가고,퇴직 고민
어차피 될지 안 될지도 모르지만 일련의 과정을 끝냈다는 것만으로도 넘나 속 시원해,퇴직 고민
어제 부사장이랑 한바탕했어이러다가 본부장이랑 나랑 둘 중의 하나가 미치든 할 거 같아,퇴직 고민
아니 중요한 결정 구조는 다 자기가 쥐고 있으면서 나한테 할거냐고 하면 어떻게 해,퇴직 고민
자기가 외주자 써서 핸들링한다고 하는데 그 사람들이 그게 가능하냐고,퇴직 고민
그래서 본부장이 옆에서 듣고 있다가 언제요 그랬더니 같이 들었잖아요 그랬대,퇴직 고민
이건 말하지마 나 없는 사이에 내 밑에 직원 시켜서 프로젝트 빼가고,퇴직 고민
어 외근 나갔다가 돌아왔더니만 직원이 그러더라고 내가 주라고 그랬대,퇴직 고민
